ICB Sub location,GP_ODS_CODE,GP_NAME,GP_GPAD_SYSTEMS,GP_SYSTEM
71E,C83072,MINSTER MEDICAL PRACTICE,TPP,TPP
71E,C83073,CLIFF HOUSE MEDICAL PRACTICE,TPP,TPP
71E,C83074,WILLINGHAM-BY-STOW SURGERY,TPP/EVERGREENLIFE,TPP
71E,C83075,VINE STREET SURGERY,TPP/EVERGREENLIFE,TPP
71E,C83078,BRANT ROAD & SPRINGCLIFFE SURGERY,TPP/EVERGREENLIFE,TPP
71E,C83079,GLEBE PARK SURGERY,TPP/EVERGREENLIFE,TPP
71E,C83080,THE HARROWBY LANE SURGERY,TPP,TPP
71E,C83082,BIRCHWOOD MEDICAL PRACTICE,TPP,TPP
71E,C83083,THE NEW CONINGSBY SURGERY,TPP/EVERGREENLIFE,TPP
71E,C83085,JAMES STREET FAMILY PRACTICE,TPP,TPP
71E,C83611,THE BASSINGHAM SURGERY,TPP,TPP
71E,C83613,CAISTOR HEALTH CENTRE,TPP,TPP
71E,C83614,SUTTERTON SURGERY,TPP,TPP
71E,C83617,ABBEYVIEW SURGERY,TPP,TPP
71E,C83626,BRAYFORD MEDICAL PRACTICE,TPP,TPP
71E,C83634,TASBURGH LODGE SURGERY,TPP,TPP
71E,C83635,WOODHALL SPA NEW SURGERY,TPP/EVERGREENLIFE,TPP
71E,C83641,TRENT VALLEY SURGERY,TPP,TPP
71E,C83643,BINBROOK SURGERY,TPP,TPP
71E,C83649,MARKET CROSS SURGERY,TPP,TPP
71E,C83650,THE WRAGBY SURGERY,TPP,TPP
02Q,C84001,LARWOOD SURGERY,TPP,TPP
52R,C84004,ST ALBANS MEDICAL CENTRE,TPP/EVERGREENLIFE,TPP
52R,C84005,VILLAGE HEALTH GROUP,TPP,TPP
02Q,C84008,TUXFORD MEDICAL CENTRE,EMIS/EVERGREENLIFE,EMIS
52R,C84009,BARNBY GATE SURGERY,TPP,TPP
52R,C84010,TRENTSIDE MEDICAL GROUP,TPP,TPP
52R,C84011,ELMSWOOD SURGERY,EMIS,EMIS
52R,C84012,WILLOWBROOK MEDICAL PRACTICE,TPP,TPP
02Q,C84013,KINGFISHER FAMILY PRACTICE,TPP,TPP
52R,C84014,WOODLANDS MEDICAL PRACTICE,TPP,TPP
52R,C84016,OAKWOOD SURGERY,TPP,TPP
52R,C84017,BELVOIR HEALTH GROUP,TPP,TPP
52R,C84018,THE FAMILY MEDICAL CENTRE,TPP,TPP
52R,C84019,FOUNTAIN MEDICAL CENTRE,TPP,TPP
52R,C84020,CHURCHSIDE MEDICAL PRACTICE,TPP,TPP
52R,C84021,MIDDLETON LODGE PRACTICE,TPP,TPP
52R,C84023,THE UNIV OF NOTTINGHAM HEALTH SERV,EMIS,EMIS
02Q,C84024,NEWGATE MEDICAL GROUP,TPP,TPP
52R,C84025,EAST BRIDGFORD MED CENTRE,TPP,TPP
52R,C84026,STENHOUSE MEDICAL CENTRE,TPP,TPP
52R,C84028,THE RUDDINGTON MED CENTRE,TPP,TPP
52R,C84029,LOMBARD MEDICAL CENTRE,TPP,TPP
52R,C84030,THE OAKS MEDICAL CENTRE,TPP,TPP
52R,C84032,"EASTWOOD PRIMARY CARE CENTRE, CHURCH STREET SITE",TPP,TPP
52R,C84033,WESTDALE LANE SURGERY,TPP,TPP
52R,C84034,CHURCHFIELDS MEDICAL PRACTICE,TPP,TPP
02Q,C84035,CROWN HOUSE SURGERY,TPP,TPP
52R,C84036,FOREST MEDICAL,TPP,TPP
52R,C84037,ABBEY MEDICAL GROUP,TPP,TPP
52R,C84039,DERBY ROAD HEALTH CENTRE,TPP,TPP
52R,C84042,SAXON CROSS SURGERY,TPP,TPP
52R,C84043,LEEN VIEW SURGERY,EMIS,EMIS
52R,C84044,DEER PARK FAMILY MEDICAL PRACTICE,EMIS,EMIS
52R,C84045,COLLINGHAM MEDICAL CENTRE,TPP,TPP
52R,C84046,CLIFTON MEDICAL PRACTICE,TPP,TPP
52R,C84047,THE CALVERTON PRACTICE,TPP,TPP
52R,C84049,SOUTHWELL MEDICAL CENTRE,TPP,TPP
52R,C84051,ORCHARD MEDICAL PRACTICE,TPP,TPP
52R,C84053,TORKARD HILL MEDICAL CTRE,TPP,TPP
52R,C84055,HIGHCROFT SURGERY,TPP,TPP
52R,C84057,PLEASLEY SURGERY,TPP,TPP
52R,C84059,SHERWOOD MEDICAL PARTNERSHIP,TPP,TPP
52R,C84060,RIVERGREEN MEDICAL CENTRE,TPP,TPP
52R,C84061,KING'S MEDICAL CENTRE,TPP,TPP
52R,C84063,GREENDALE PRIMARY CARE CENTRE,TPP,TPP
52R,C84064,PARKSIDE MEDICAL CENTRE,TPP,TPP
52R,C84065,ABBEY MEDICAL CENTRE,TPP,TPP
52R,C84066,DAYBROOK MEDICAL PRACTICE,TPP,TPP
52R,C84067,ASHFIELD HOUSE (ANNESLEY),TPP,TPP
52R,C84069,ROUNDWOOD SURGERY,TPP,TPP
52R,C84072,THE WELLSPRING SURGERY,TPP,TPP
52R,C84074,FAMILY MEDICAL CENTRE (KIRKBY),TPP,TPP
52R,C84076,KIRKBY HEALTH CENTRE,TPP,TPP
52R,C84077,BRIERLEY PARK MEDICAL GROUP,TPP,TPP
52R,C84078,HUCKNALL ROAD MEDICAL CENTRE,TPP,TPP
52R,C84080,THE MANOR SURGERY,TPP,TPP
52R,C84081,JOHN RYLE MEDICAL PRACTICE,TPP,TPP
52R,C84084,RADCLIFFE-ON-TRENT. HEALTH CENTRE,TPP,TPP
52R,C84085,VICTORIA AND MAPPERLEY PRACTICE,EMIS,EMIS
52R,C84086,ST GEORGES MED PRACTICE,TPP,TPP
52R,C84087,RAINWORTH HEALTH CENTRE,TPP,TPP
52R,C84090,MUSTERS MEDICAL PRACTICE,TPP,TPP
52R,C84091,ASPLEY MEDICAL CENTRE,TPP,TPP
52R,C84092,BRIDGEWAY PRACTICE,TPP,TPP
02Q,C84094,RIVERSIDE HEALTH CENTRE,TPP,TPP
52R,C84095,OAKENHALL MEDICAL PRACT,TPP,TPP
02Q,C84101,BAWTRY AND BLYTH MEDICAL,TPP,TPP
52R,C84105,FAIRFIELDS PRACTICE,EMIS,EMIS
52R,C84106,MILLVIEW SURGERY,TPP,TPP
52R,C84107,THE LINDEN MEDICAL GROUP,TPP,TPP
52R,C84112,BRAMCOTE SURGERY,TPP,TPP
52R,C84113,MAJOR OAK MEDICAL PRACTICE,TPP,TPP
52R,C84115,PLAINS VIEW SURGERY,TPP,TPP
52R,C84116,MELBOURNE PARK MEDICAL CENTRE,EMIS,EMIS
52R,C84117,RADFORD MEDICAL PRACTICE (KAUR),EMIS,EMIS
52R,C84120,CHILWELL VALLEY AND MEADOWS PRACTICE,TPP,TPP
52R,C84122,WOLLATON PARK MEDICAL CENTRE,TPP,TPP
52R,C84123,BILSTHORPE SURGERY,TPP,TPP
52R,C84129,RISE PARK SURGERY,TPP,TPP
52R,C84131,NEWTHORPE MEDICAL PRACTICE,TPP,TPP
52R,C84136,ST. LUKE'S SURGERY,EMIS,EMIS
52R,C84140,LOWMOOR ROAD SURGERY,TPP,TPP
52R,C84142,SELSTON SURGERY,TPP,TPP
52R,C84144,THE MEADOWS HEALTH CENTRE,TPP,TPP
52R,C84150,UNITY SURGERY,TPP,TPP
52R,C84151,THE MEDICAL CENTRE - ZULU ROAD,TPP,TPP
52R,C84605,CASTLE HEALTHCARE PRACTICE,TPP,TPP
52R,C84613,JUBILEE PARK MEDICAL PARTNERSHIP,TPP,TPP
52R,C84619,TUDOR HOUSE MEDICAL PRACTICE,TPP,TPP
52R,C84621,WEST BRIDGFORD MEDICAL CENTRE,TPP,TPP
52R,C84624,HAMA MEDICAL CENTRE,TPP,TPP
52R,C84628,SHERWOOD RISE MEDICAL CENTRE,TPP,TPP
52R,C84629,"HEALTH CARE COMPLEX, KIRKBY",TPP,TPP
52R,C84637,SANDY LANE SURGERY,TPP,TPP
52R,C84646,THE IVY MEDICAL GROUP,TPP,TPP
52R,C84654,JACKSDALE MEDICAL CENTRE,TPP,TPP
52R,C84656,HILL VIEW SURGERY,TPP,TPP
52R,C84658,MEDEN MEDICAL SERVICES,TPP,TPP
52R,C84660,HOUNSFIELD SURGERY,TPP,TPP
52R,C84664,WELBECK SURGERY,TPP,TPP
52R,C84667,GILTBROOK SURGERY,TPP,TPP
52R,C84676,GREENFIELDS MEDICAL PRACTICE,TPP,TPP
52R,C84679,ACORN MEDICAL PRACTICE,TPP,TPP
52R,C84682,SHERRINGTON PARK MEDICAL PRACTICE,TPP,TPP
52R,C84683,THE WINDMILL PRACTICE,TPP,TPP
52R,C84691,HIGH GREEN MEDICAL PRACTICE,TPP,TPP
02Q,C84692,NORTH LEVERTON SURGERY,EMIS,EMIS
52R,C84693,BAKERSFIELD MEDICAL CENTRE,EMIS,EMIS
52R,C84694,LIME TREE SURGERY,TPP,TPP
52R,C84695,THE ALICE MEDICAL CENTRE,TPP,TPP
52R,C84696,WEST OAK SURGERY,TPP,TPP
52R,C84703,THE GAMSTON MEDICAL CTR.,TPP,TPP
52R,C84704,JRB HEALTHCARE BEECHDALE SURGERY,TPP,TPP
52R,C84705,HICKINGS LANE MEDICAL CTR,TPP,TPP
52R,C84714,SUNRISE MEDICAL PRACTICE,EMIS,EMIS
02P,C85001,GOLDTHORPE MEDICAL CENTRE PMS PRACTICE,TPP,TPP
02P,C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,TPP,TPP
02P,C85004,PENISTONE GROUP PMS PRACTICE,EMIS,EMIS
02P,C85005,ROYSTON GROUP PRACTICE,TPP,TPP
02P,C85006,WOODLAND DRIVE MEDICAL CENTRE,EMIS,EMIS
02P,C85007,THE DOVE VALLEY PMS PRACTICE,TPP,TPP
02P,C85008,WALDERSLADE SURGERY,EMIS,EMIS
02P,C85009,THE KAKOTY PRACTICE,TPP,TPP
02P,C85010,HILL BROW SURGERY PMS PRACTICE,TPP,TPP
02P,C85013,WOMBWELL GMS PRACTICE,TPP,TPP
02P,C85014,THE ROSE TREE PMS PRACTICE,EMIS,EMIS
02P,C85016,GARLAND HOUSE SURGERY,EMIS,EMIS
02P,C85017,BURLEIGH MEDICAL CENTRE,TPP,TPP
02P,C85018,GRIMETHORPE SURGERY,EMIS,EMIS
02P,C85019,THE GROVE MEDICAL PRACTICE,EMIS,EMIS
02P,C85020,HUDDERSFIELD ROAD SURGERY,EMIS,EMIS
02P,C85022,HOYLAND MEDICAL PRACTICE,EMIS,EMIS
02P,C85023,HOLLYGREEN PRACTICE,TPP,TPP
02P,C85024,HIGH STREET PRACTICE,TPP,TPP
02P,C85028,LUNDWOOD MEDICAL CENTRE PMS PRACTICE,EMIS,EMIS
02P,C85030,WOMBWELL MEDICAL CENTRE PRACTICE,EMIS,EMIS
02P,C85033,VICTORIA MEDICAL CENTRE PMS PRACTICE,EMIS,EMIS
02P,C85614,DARTON HEALTH CENTRE PRACTICE,EMIS,EMIS
02P,C85619,ST GEORGE'S MEDICAL CENTRE PMS PRACTICE,TPP,TPP
02P,C85622,MONK BRETTON HEALTH CENTRE PRACTICE,EMIS,EMIS
02P,C85623,KINGSWELL SURGERY PMS PRACTICE,TPP,TPP
02X,C86001,GREAT NORTH MEDICAL GROUP,TPP,TPP
02X,C86002,THE RANSOME PRACTICE,EMIS,EMIS
02X,C86003,HATFIELD HEALTH CENTRE,TPP,TPP
02X,C86005,MEXBOROUGH HEALTH CENTRE,EMIS,EMIS
02X,C86006,REGENT SQUARE GROUP PRACTICE,EMIS,EMIS
02X,C86007,THE BURNS PRACTICE,TPP,TPP
02X,C86009,THE MAYFLOWER MEDICAL PRACTICE,TPP,TPP
02X,C86011,MOUNT GROUP PRACTICE,TPP,TPP
02X,C86012,THE OAKWOOD SURGERY,TPP,TPP
02X,C86013,THE TICKHILL & COLLIERY MEDICAL PRACTICE,TPP,TPP
02X,C86015,THE ROSSINGTON PRACTICE,EMIS,EMIS
02X,C86016,THE LAKESIDE PRACTICE,TPP,TPP
02X,C86017,KINGTHORNE GROUP PRACTICE,TPP,TPP
02X,C86018,NORTHFIELD SURGERY,TPP,TPP
02X,C86019,THE SCOTT PRACTICE,EMIS,EMIS
02X,C86020,ST. JOHNS GROUP PRACTICE,EMIS,EMIS
02X,C86021,WHITE HOUSE FARM MEDICAL CENTRE,TPP,TPP
02X,C86023,DON VALLEY HEALTHCARE,TPP,TPP
02X,C86024,CONISBROUGH GROUP PRACTICE,TPP,TPP
02X,C86025,FRANCES STREET MEDICAL CENTRE,TPP,TPP
02X,C86026,EDLINGTON HEALTH CENTRE PRACTICE,EMIS,EMIS
02X,C86029,ST VINCENT MEDICAL CENTRE,TPP,TPP
02X,C86032,SCAWSBY HEALTH CENTRE PRACTICE,EMIS,EMIS
02X,C86033,THE NAYAR PRACTICE,EMIS,EMIS
02X,C86034,THE NEW SURGERY,EMIS,EMIS
02X,C86037,FIELD ROAD SURGERY,TPP,TPP
02X,C86038,PETERSGATE MEDICAL CENTRE,TPP,TPP
02X,C86605,ASKERN MEDICAL PRACTICE,TPP,TPP
02X,C86609,ASA MEDICAL GROUP,TPP,TPP
02X,C86611,DUNSVILLE MEDICAL CENTRE,TPP,TPP
02X,C86614,THORNE MOOR MEDICAL PRACTICE,TPP,TPP
02X,C86616,DENABY MEDICAL PRACTICE,TPP,TPP
02X,C86621,WEST END CLINIC,TPP,TPP
02X,C86625,CONISBROUGH MEDICAL PRACTICE,TPP,TPP
02X,C86626,PARK VIEW SURGERY,EMIS,EMIS
03L,C87002,DINNINGTON GROUP PRACTICE,TPP,TPP
03L,C87003,WOODSTOCK BOWER GROUP PRACTICE,TPP,TPP
03L,C87004,KIVETON PARK MEDICAL PRACTICE,EMIS,EMIS
03L,C87005,ST ANN'S MEDICAL CENTRE,TPP,TPP
03L,C87006,THE MAGNA GROUP PRACTICE,TPP,TPP
03L,C87007,STAG MEDICAL CENTRE,TPP,TPP
03L,C87008,SWALLOWNEST HEALTH CENTRE,TPP,TPP
03L,C87009,BRINSWORTH MEDICAL CENTRE,TPP,TPP
03L,C87010,YORK ROAD SURGERY,TPP,TPP
03L,C87012,BROOM LANE MEDICAL CENTRE,TPP,TPP
03L,C87013,PARKGATE MEDICAL CENTRE,TPP,TPP
03L,C87014,TREETON MEDICAL CENTRE,TPP,TPP
03L,C87015,WICKERSLEY HEALTH CENTRE,TPP,TPP
03L,C87016,MORTHEN ROAD SURGERY,TPP,TPP
03L,C87017,CLIFTON MEDICAL CENTRE,TPP,TPP
03L,C87018,HIGH STREET SURGERY,TPP,TPP
03L,C87020,GREENSIDE SURGERY,TPP,TPP
03L,C87022,VILLAGE SURGERY,TPP,TPP
03L,C87024,RAWMARSH HEALTH CENTRE,TPP,TPP
03L,C87029,MARKET SURGERY,TPP,TPP
03L,C87030,CROWN STREET SURGERY,TPP,TPP
03L,C87031,DR RAOLU'S PRACTICE,TPP,TPP
03L,C87603,GREASBROUGH MEDICAL CENTRE,TPP,TPP
03L,C87604,THORPE HESLEY SURGERY,TPP,TPP
03L,C87608,SHAKESPEARE ROAD SURGERY,TPP,TPP
03L,C87616,BLYTH ROAD MEDICAL CENTRE,TPP,TPP
03L,C87620,MANOR FIELD SURGERY,TPP,TPP
03L,C87622,GATEWAY PRIMARY CARE,TPP,TPP
03N,C88005,WALKLEY HOUSE & STANNINGTON M.C,TPP,TPP
03N,C88006,NORFOLK PARK HEALTH CENTRE,TPP,TPP
03N,C88007,PORTER BROOK MEDICAL CENTRE,TPP,TPP
03N,C88008,FORGE HEALTH GROUP,EMIS,EMIS
03N,C88009,FOXHILL MEDICAL CENTRE,TPP,TPP
03N,C88010,CHAPELGREEN PRACTICE,TPP,TPP
03N,C88011,BUCHANAN ROAD SURGERY,TPP,TPP
03N,C88014,NORWOOD MEDICAL CENTRE,EMIS,EMIS
03N,C88015,MEADOWGREEN HEALTH CENTRE,TPP,TPP
03N,C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,TPP,TPP
03N,C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),TPP,TPP
03N,C88019,GLEADLESS MEDICAL CENTRE,EMIS,EMIS
03N,C88020,WHITE HOUSE SURGERY,TPP,TPP
03N,C88021,FAR LANE MEDICAL CENTRE,TPP,TPP
03N,C88022,STONECROFT MEDICAL CENTRE,TPP,TPP
03N,C88023,SOTHALL & BEIGHTON HEALTH CENTRES,TPP,TPP
03N,C88025,BIRLEY HEALTH CENTRE,TPP,TPP
03N,C88026,SLOAN MEDICAL CENTRE,TPP,TPP
03N,C88027,UPWELL STREET SURGERY,TPP,TPP
03N,C88028,BROOMHILL SURGERY,TPP,TPP
03N,C88030,DUKE MEDICAL CENTRE,EMIS,EMIS
03N,C88031,UPPERTHORPE MEDICAL CENTRE,TPP,TPP
03N,C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,EMIS,EMIS
03N,C88034,NETHERGREEN SURGERY,TPP,TPP
03N,C88035,FIRTH PARK SURGERY,EMIS,EMIS
03N,C88036,HANDSWORTH MEDICAL PRACTICE,TPP,TPP
03N,C88037,STEEL CITY GENERAL PRACTICE,TPP,TPP
03N,C88038,THE MATHEWS PRACTICE BELGRAVE,TPP,TPP
03N,C88039,ECCLESFIELD GROUP PRACT,TPP,TPP
03N,C88040,OUGHTIBRIDGE SURGERY,TPP,TPP
03N,C88041,WOODSEATS MEDICAL CENTRE,TPP,TPP
03N,C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,TPP,TPP
03N,C88044,MANCHESTER ROAD SURGERY,TPP,TPP
03N,C88045,DYKES HALL MEDICAL CENTRE,TPP,TPP
03N,C88046,BEAUCHIEF MEDICAL PRACTICE,TPP,TPP
03N,C88047,WINCOBANK MEDICAL CENTRE,TPP,TPP
03N,C88048,BURNGREAVE SURGERY,TPP,TPP
03N,C88049,ELM LANE SURGERY,TPP,TPP
03N,C88050,JAUNTY SPRINGS HEALTH CENTRE,TPP,TPP
03N,C88051,PAGE HALL MEDICAL CENTRE,TPP,TPP
03N,C88052,HOLLIES MEDICAL CENTRE,TPP,TPP
03N,C88053,FALKLAND HOUSE SURGERY,TPP,TPP
03N,C88054,GRENOSIDE SURGERY,EMIS,EMIS
03N,C88059,HAROLD STREET MEDICAL CENTRE,TPP,TPP
03N,C88060,SHARROW LANE MEDICAL CENTRE,TPP,TPP
03N,C88062,RUSTLINGS ROAD MEDICAL CENTRE,TPP,TPP
03N,C88069,CLOVER GROUP PRACTICE,TPP,TPP
03N,C88070,SHIREGREEN MEDICAL CENTRE,EMIS,EMIS
03N,C88072,WOODHOUSE MEDICAL CENTRE,TPP,TPP
03N,C88073,HEELEY GREEN SURGERY,TPP,TPP
03N,C88074,DEEPCAR MEDICAL CENTRE,TPP,TPP
03N,C88076,DEVONSHIRE GREEN MEDICAL CENTRE,TPP,TPP
03N,C88077,GREEN CROSS GROUP PRACTICE,TPP,TPP
03N,C88078,MOSBOROUGH HEALTH CENTRE,TPP,TPP
03N,C88079,CROOKES PRACTICE,TPP,TPP
03N,C88082,CARRFIELD MEDICAL CENTRE,EMIS,EMIS
03N,C88083,SELBORNE ROAD MEDICAL CENTRE,TPP,TPP
03N,C88084,CLOVER NORTH DARNALL HEALTH CENTRE,TPP,TPP
03N,C88085,RICHMOND MEDICAL CENTRE,TPP,TPP
03N,C88086,SOUTHEY GREEN MEDICAL CTR,TPP,TPP
03N,C88087,DOVERCOURT GROUP PRACTICE,TPP,TPP
03N,C88088,EAST BANK MEDICAL CENTRE,TPP,TPP
03N,C88090,MANOR AND PARK GROUP PRACTICE,TPP,TPP
03N,C88091,BARNSLEY ROAD SURGERY,EMIS,EMIS
03N,C88092,VALLEY MEDICAL CENTRE,TPP,TPP
03N,C88095,MILL ROAD SURGERY,TPP,TPP
03N,C88622,SHEFFIELD MEDICAL CENTRE,TPP,TPP
03N,C88627,UNIVERSITY HEALTH SERVICE HEALTH CENTRE,EMIS,EMIS
03N,C88631,VERITAS HEALTH CENTRE,TPP,TPP
03N,C88647,THE THORPE PRACTICE,TPP,TPP
03N,C88648,CRYSTAL PEAKS MEDICAL CENTRE,TPP,TPP
03N,C88652,GREYSTONES MEDICAL CENTRE,TPP,TPP
03N,C88655,THE MEDICAL CENTRE DR OKORIE,EMIS,EMIS
06H,D81001,LENSFIELD MEDICAL PRACTICE,TPP,TPP
06H,D81002,HUNTINGDON ROAD SURGERY,TPP,TPP
06H,D81003,YORK STREET MEDICAL PRACTICE,TPP,TPP
06H,D81004,ALCONBURY SURGERY,EMIS,EMIS
06H,D81005,NEWNHAM WALK SURGERY,TPP,TPP
06H,D81008,NORTH BRINK PRACTICE,TPP,TPP
06H,D81010,PRIORY FIELDS SURGERY,TPP/EVERGREENLIFE,TPP
06H,D81011,CLARKSON SURGERY,TPP,TPP
06H,D81012,CORNFORD HOUSE SURGERY,TPP,TPP
06H,D81013,TRUMPINGTON STREET MEDICAL PRACTICE,TPP,TPP
06H,D81014,STAPLOE MEDICAL CENTRE,TPP/EVERGREENLIFE,TPP
06H,D81015,PARSON DROVE SURGERY,TPP,TPP
06H,D81016,ARBURY ROAD SURGERY,TPP,TPP
06H,D81017,MILL ROAD SURGERY,TPP,TPP
06H,D81018,"ORCHARD SURGERY,MELBOURN",TPP,TPP
06H,D81021,ST. GEORGE'S MEDICAL CENTRE,TPP/EVERGREENLIFE,TPP
06H,D81022,JENNER HEALTHCARE,TPP,TPP
06H,D81025,CHERRY HINTON MEDICAL CENTRE,TPP,TPP
06H,D81026,BOROUGHBURY MEDICAL CENTRE,TPP,TPP
06H,D81027,WELLSIDE SURGERY,EMIS,EMIS
06H,D81028,FIRS HOUSE SURGERY,TPP,TPP
06H,D81029,OLD FLETTON SURGERY,TPP,TPP
06H,D81030,GROVE MEDICAL PRACTICE,TPP,TPP
06H,D81031,YAXLEY GROUP PRACTICE,TPP,TPP
06H,D81033,OVER SURGERY,TPP,TPP
06H,D81034,ST MARY'S SURGERY,TPP/EVERGREENLIFE,TPP
06H,D81035,COMBERTON SURGERY,TPP,TPP
06H,D81036,PRIORS FIELD SURGERY,TPP/EVERGREENLIFE,TPP
06H,D81037,BRIDGE STREET MEDICAL CENTRE,TPP,TPP
06H,D81038,KIMBOLTON MEDICAL CENTRE,TPP,TPP
06H,D81041,BOURN SURGERY,TPP,TPP
06H,D81042,WATERBEACH AND COTTENHAM SURGERIES,TPP,TPP
06H,D81043,GRANTA MEDICAL PRACTICES,TPP,TPP
06H,D81044,NUFFIELD ROAD MEDICAL CENTRE,TPP,TPP
06H,D81045,BUCKDEN SURGERY,EMIS,EMIS
06H,D81046,NEW QUEEN STREET SURGERY,TPP,TPP
06K,D81047,ASHWELL SURGERY,TPP,TPP
06H,D81049,SPINNEY SURGERY,TPP,TPP
06H,D81050,THE HICKS GROUP PRACTICE,TPP,TPP
06H,D81051,BURWELL SURGERY,TPP/EVERGREENLIFE,TPP
06H,D81052,CORNERSTONE PRACTICE,TPP,TPP
06H,D81054,RED HOUSE SURGERY,TPP,TPP
06H,D81055,BOTTISHAM MEDICAL PRACTICE,TPP,TPP
06H,D81056,PETERSFIELD MEDICAL PRACTICE,EMIS,EMIS
06H,D81057,LAKESIDE HEALTHCARE ST NEOTS,TPP,TPP
06H,D81058,HARSTON SURGERY,EMIS,EMIS
06H,D81059,RAMSEY HEALTH CENTRE,TPP,TPP
06H,D81060,MOAT HOUSE SURGERY,TPP,TPP
06H,D81061,GEORGE CLARE SURGERY,TPP,TPP
06H,D81062,HADDENHAM SURGERY,TPP/EVERGREENLIFE,TPP
06H,D81064,MERCHEFORD HOUSE,TPP,TPP
06H,D81065,NIGHTINGALE MEDICAL CENTRE,TPP,TPP
06H,D81066,QUEEN EDITH MEDICAL PRACTICE,TPP,TPP
06H,D81070,WOODLANDS SURGERY,TPP,TPP
06H,D81073,WESTWOOD CLINIC,TPP,TPP
06H,D81078,MAPLE SURGERY BAR HILL HEALTH CENTRE,TPP,TPP
06H,D81081,GREAT STAUGHTON SURGERY,TPP,TPP
06H,D81082,ALMOND ROAD SURGERY,TPP,TPP
06H,D81084,WILLINGHAM MEDICAL PRACTICE,TPP,TPP
06H,D81085,PAPWORTH SURGERY,TPP,TPP
06H,D81086,EAST BARNWELL HEALTH CENTRE,TPP,TPP
06H,D81603,RIVERSIDE PRACTICE,TPP,TPP
06H,D81606,RIVERPORT MEDICAL PRACTICE,TPP,TPP
06H,D81607,SWAVESEY SURGERY,TPP,TPP
06H,D81611,FENLAND GROUP PRACTICE,TPP,TPP
06H,D81612,MILTON SURGERY,TPP,TPP
06H,D81615,THORPE ROAD,TPP,TPP
06H,D81618,AILSWORTH MEDICAL CENTRE,TPP,TPP
06H,D81622,TRINITY SURGERY,TPP,TPP
06H,D81625,THISTLEMOOR MEDICAL CENTRE,TPP,TPP
06H,D81629,WILLOW TREE SURGERY,TPP,TPP
06H,D81630,HAMPTON MEDICAL CENTRE,TPP,TPP
06H,D81631,CENTRAL MEDICAL CENTRE,TPP,TPP
06H,D81633,ACORN SURGERY,TPP,TPP
06H,D81637,MONKFIELD MEDICAL PRACTICE,TPP,TPP
06H,D81645,THE GRANGE MEDICAL CENTRE,TPP,TPP
26A,D82001,HOLT MEDICAL PRACTICE,EMIS,EMIS
26A,D82002,GROVE SURGERY,TPP,TPP
26A,D82003,BEACHES MEDICAL CENTRE,TPP,TPP
26A,D82004,CROMER GROUP PRACTICE,TPP,TPP
26A,D82005,SHERINGHAM MEDICAL PRACTICE,TPP,TPP
26A,D82006,CHET VALLEY MEDICAL PRACTICE,TPP,TPP
26A,D82007,EAST NORFOLK MEDICAL PRACTICE,TPP,TPP
26A,D82008,ST STEPHENS GATE MEDICAL PARTNERSHIP,TPP,TPP
26A,D82009,STALHAM STAITHE SURGERY,TPP,TPP
26A,D82010,GRIMSTON MEDICAL CENTRE,TPP,TPP
26A,D82011,CASTLE PARTNERSHIP,TPP,TPP
26A,D82012,MAGDALEN MEDICAL PRACTICE,TPP,TPP
26A,D82013,OLD CATTON MEDICAL PRACTICE,TPP,TPP
26A,D82015,BRIDGE STREET SURGERY,TPP,TPP
26A,D82016,MARKET SURGERY,TPP,TPP
26A,D82017,TRINITY & BOWTHORPE MEDICAL PRACTICE,TPP,TPP
26A,D82018,HELLESDON MEDICAL PRACTICE,TPP,TPP
26A,D82019,THE MILLWOOD PARTNERSHIP,TPP,TPP
26A,D82020,ORCHARD SURGERY,TPP,TPP
26A,D82022,LAWNS PRACTICE,TPP,TPP
26A,D82023,ROUNDWELL MEDICAL CENTRE,TPP,TPP
26A,D82024,MARRIOTT'S MEDICAL PRACTICES,TPP,TPP
26A,D82025,HOVETON & WROXHAM MEDICAL CENTRE,TPP,TPP
26A,D82026,LAKENHAM SURGERY,TPP,TPP
26A,D82027,HEACHAM GROUP PRACTICE,TPP,TPP
26A,D82028,LUDHAM AND STALHAM GREEN SURGERIES,EMIS,EMIS
26A,D82029,DRAYTON MEDICAL PRACTICE,EMIS,EMIS
26A,D82030,REEPHAM & AYLSHAM MEDICAL PRACTICE,TPP,TPP
26A,D82031,PARISH FIELDS PRACTICE,TPP,TPP
26A,D82032,BRUNDALL MEDICAL PARTNERSHIP,TPP,TPP
26A,D82034,ATTLEBOROUGH SURGERY,TPP,TPP
26A,D82035,UPWELL HEALTH CENTRE,TPP,TPP
26A,D82036,OLD MILL AND MILLGATES MEDICAL PRACTICE,TPP,TPP
26A,D82037,LONG STRATTON MEDICAL PARTNERSHIP,TPP,TPP
26A,D82038,WELLS HEALTH CENTRE,TPP,TPP
26A,D82039,MATTISHALL AND LENWADE SURGERIES,TPP,TPP
26A,D82040,WENSUM VALLEY MEDICAL PRACTICE,TPP,TPP
26A,D82041,SCHOOL LANE SURGERY,TPP,TPP
